epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1194,1.46024,9.86408,1.0725,0.92918,0.00889,0.03963,0.0339,1.19642,5.11696,0.96858,2.116e-05,2.116e-05,2.116e-05
2,18.6601,1.06531,7.62164,0.90289,0.95805,0.04141,0.08261,0.06708,1.04681,4.22033,0.88291,3.46785e-05,3.46785e-05,3.46785e-05
3,27.007,0.92305,6.24673,0.8676,0.95087,0.06918,0.15493,0.12223,1.0265,3.18771,0.85112,3.94533e-05,3.94533e-05,3.94533e-05
4,35.2678,0.86641,5.39741,0.84175,0.81405,0.13256,0.19286,0.15222,0.91103,2.68048,0.83023,3.54844e-05,3.54844e-05,3.54844e-05
5,43.5663,0.8337,4.67801,0.83672,0.79026,0.18099,0.22079,0.17879,0.83548,2.4872,0.82375,1.9136e-05,1.9136e-05,1.9136e-05
