epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,32673.1,0.7184,0.49931,0.8367,0.82884,0.78532,0.87795,0.73151,0.75191,0.58128,0.85054,2.74472e-05,2.74472e-05,2.74472e-05
40,33472.3,0.70768,0.49831,0.83739,0.87162,0.75707,0.87433,0.72812,0.7501,0.59064,0.85111,2.70116e-05,2.70116e-05,2.70116e-05
41,34388.9,0.69584,0.48912,0.83304,0.81262,0.81807,0.87577,0.73286,0.74469,0.58663,0.85049,2.6576e-05,2.6576e-05,2.6576e-05
42,35201.9,0.6895,0.48685,0.83342,0.81437,0.79711,0.8782,0.74029,0.74211,0.57612,0.84917,2.61404e-05,2.61404e-05,2.61404e-05
43,36019.8,0.68634,0.46203,0.8323,0.83852,0.80438,0.87799,0.73356,0.73498,0.5656,0.84611,2.57048e-05,2.57048e-05,2.57048e-05
44,36941.2,0.67887,0.46506,0.83143,0.8428,0.79397,0.88694,0.7444,0.74282,0.56391,0.84941,2.52692e-05,2.52692e-05,2.52692e-05
45,37752.2,0.69009,0.47704,0.83663,0.81972,0.81351,0.88489,0.73867,0.73302,0.56684,0.84606,2.48336e-05,2.48336e-05,2.48336e-05
46,38536.1,0.675,0.46692,0.8292,0.82242,0.82805,0.89392,0.75275,0.73741,0.55959,0.85081,2.4398e-05,2.4398e-05,2.4398e-05
47,39416.7,0.67909,0.45579,0.83099,0.87589,0.788,0.89868,0.75347,0.73717,0.55793,0.84758,2.39624e-05,2.39624e-05,2.39624e-05
48,40304.7,0.67245,0.46607,0.83421,0.84843,0.8079,0.89468,0.74769,0.73404,0.56057,0.84651,2.35268e-05,2.35268e-05,2.35268e-05
49,41116.6,0.67001,0.45917,0.83147,0.86717,0.79325,0.89047,0.74858,0.73524,0.55551,0.84748,2.30912e-05,2.30912e-05,2.30912e-05
50,42058.4,0.67302,0.45365,0.83002,0.87885,0.78694,0.88425,0.74636,0.73199,0.55726,0.84683,2.26556e-05,2.26556e-05,2.26556e-05
